[INFO ] [124] [2021-01-26 12:20:46,980] Preparing import process for data catalog: Falken
[INFO ] [58] [2021-01-26 12:25:47,081] Preparing import process for data catalog: Ronal
[INFO ] [163] [2021-01-26 13:17:47,866] Preparing import process for data catalog: Reifengundlach
[INFO ] [158] [2021-01-26 13:20:47,125] Preparing import process for data catalog: Falken
[INFO ] [148] [2021-01-26 13:25:47,203] Preparing import process for data catalog: Ronal
[INFO ] [60] [2021-01-26 14:17:48,165] Preparing import process for data catalog: Reifengundlach
[INFO ] [69] [2021-01-26 14:20:47,391] Preparing import process for data catalog: Falken
[INFO ] [78] [2021-01-26 14:25:47,439] Preparing import process for data catalog: Ronal
[INFO ] [65] [2021-01-26 15:17:48,367] Preparing import process for data catalog: Reifengundlach
[INFO ] [119] [2021-01-26 15:20:47,575] Preparing import process for data catalog: Falken
[INFO ] [132] [2021-01-26 15:25:47,642] Preparing import process for data catalog: Ronal
[INFO ] [56] [2021-01-26 16:17:48,586] Preparing import process for data catalog: Reifengundlach
[INFO ] [45] [2021-01-26 16:20:47,845] Preparing import process for data catalog: Falken
[INFO ] [69] [2021-01-26 16:25:47,938] Preparing import process for data catalog: Ronal
[INFO ] [117] [2021-01-26 17:17:48,831] Preparing import process for data catalog: Reifengundlach
[INFO ] [39] [2021-01-26 17:20:48,106] Preparing import process for data catalog: Falken
[INFO ] [5] [2021-01-26 17:25:48,186] Preparing import process for data catalog: Ronal
[INFO ] [28] [2021-01-26 18:17:49,072] Preparing import process for data catalog: Reifengundlach
[INFO ] [108] [2021-01-26 18:20:48,311] Preparing import process for data catalog: Falken
[INFO ] [25] [2021-01-26 18:25:48,438] Preparing import process for data catalog: Ronal
[INFO ] [84] [2021-01-26 19:17:49,358] Preparing import process for data catalog: Reifengundlach
[INFO ] [16] [2021-01-26 19:20:48,652] Preparing import process for data catalog: Falken
[INFO ] [92] [2021-01-26 19:25:48,716] Preparing import process for data catalog: Ronal
[INFO ] [162] [2021-01-26 20:17:49,654] Preparing import process for data catalog: Reifengundlach
[INFO ] [158] [2021-01-26 20:20:48,945] Preparing import process for data catalog: Falken
[INFO ] [153] [2021-01-26 20:25:49,011] Preparing import process for data catalog: Ronal
[INFO ] [89] [2021-01-26 21:17:49,883] Preparing import process for data catalog: Reifengundlach
[INFO ] [86] [2021-01-26 21:20:49,116] Preparing import process for data catalog: Falken
[INFO ] [133] [2021-01-26 22:17:50,137] Preparing import process for data catalog: Reifengundlach
[INFO ] [106] [2021-01-26 22:20:49,338] Preparing import process for data catalog: Falken
[INFO ] [6] [2021-01-26 23:20:49,683] Preparing import process for data catalog: Falken
[INFO ] [4] [2021-01-27 00:20:49,950] Preparing import process for data catalog: Falken
[INFO ] [111] [2021-01-27 01:20:50,226] Preparing import process for data catalog: Falken
[INFO ] [137] [2021-01-27 02:20:50,407] Preparing import process for data catalog: Falken
[INFO ] [149] [2021-01-27 03:20:50,745] Preparing import process for data catalog: Falken
[INFO ] [25] [2021-01-27 04:20:51,011] Preparing import process for data catalog: Falken
[INFO ] [147] [2021-01-27 05:21:00,293] Preparing import process for data catalog: Falken
[INFO ] [7] [2021-01-27 06:18:01,407] Preparing import process for data catalog: Reifengundlach
[INFO ] [91] [2021-01-27 06:21:00,581] Preparing import process for data catalog: Falken
[INFO ] [138] [2021-01-27 06:26:00,674] Preparing import process for data catalog: Ronal
[INFO ] [28] [2021-01-27 07:18:01,728] Preparing import process for data catalog: Reifengundlach
[INFO ] [75] [2021-01-27 07:21:00,878] Preparing import process for data catalog: Falken
[INFO ] [13] [2021-01-27 07:26:00,957] Preparing import process for data catalog: Ronal
[INFO ] [24] [2021-01-27 08:18:01,981] Preparing import process for data catalog: Reifengundlach
[INFO ] [10] [2021-01-27 08:21:01,089] Preparing import process for data catalog: Falken
[INFO ] [17] [2021-01-27 08:26:01,188] Preparing import process for data catalog: Ronal
[INFO ] [40] [2021-01-27 09:18:02,249] Preparing import process for data catalog: Reifengundlach
[INFO ] [98] [2021-01-27 09:21:01,368] Preparing import process for data catalog: Falken
[INFO ] [23] [2021-01-27 09:26:01,485] Preparing import process for data catalog: Ronal
[INFO ] [103] [2021-01-27 10:18:02,368] Preparing import process for data catalog: Reifengundlach
[INFO ] [15] [2021-01-27 10:21:01,574] Preparing import process for data catalog: Falken
[INFO ] [108] [2021-01-27 10:26:01,704] Preparing import process for data catalog: Ronal
[INFO ] [94] [2021-01-27 11:18:02,664] Preparing import process for data catalog: Reifengundlach
[INFO ] [95] [2021-01-27 11:21:01,854] Preparing import process for data catalog: Falken
[INFO ] [126] [2021-01-27 11:26:01,971] Preparing import process for data catalog: Ronal
